GENHLTH	EXERANY	HTF	HTI	SMOKE100	WEIGHT	WTDESIRE	AGE	SEX	HEIGHT_IN_INCHES	BMI
3		5	5	1	140		76	2	65	23.294674556213018
1		5	2	2	70		22	2	62	12.801768990634756
2	1.0	5	6	1	151		67	2	66	24.369375573921026
3		6	2	2	180		32	1	74	23.10810810810811
2		5	9	2	255		66	1	69	37.65280403276623
3		5	2	2	170		42	2	62	31.09001040582726
4		5	7	1	160		64	1	67	25.05680552461573
4		5	2	2	100		92	2	62	18.28824141519251
5		5	6	2	195		44	2	66	31.47038567493113
2	1.0	5	6	1	140		23	2	66	22.594123048668507
3	2.0	5	4	1	170		76	2	64	29.17724609375
2		5	3	1	189		63	2	63	33.476190476190474
2	2.0	5	10	1	178		57	1	70	25.537551020408163
2	2.0	5	5	1	200		56	2	65	33.27810650887574
2		5	10	2	180		49	1	70	25.82448979591837
3		5	8	1	210		27	1	68	31.926903114186853
1		5	8	2	174		29	1	68	26.45371972318339
4	2.0	5	10	1	220		37	2	70	31.563265306122446
3		5	5	1	195		72	2	65	32.44615384615385
2		5	5	1	145		23	2	65	24.12662721893491
2	1.0	5	4	2	135	135.0	36	2	64	23.170166015625
2		5	11	1	212		76	1	71	29.564768895060503
3	1.0	5	7	2	160		18	2	67	25.05680552461573
1		6	1	1	225		27	1	73	29.681929067367236
3		5	7	2	145		29	2	67	22.707730006683004
2	1.0	5	6	1	180		31	2	66	29.049586776859506
3		5	5	1	116		41	2	65	19.30130177514793
2	1.0	6	0	1	200		28	1	72	27.12191358024691
3		5	0	2	140		27	2	60	27.33888888888889
1		5	9	2	150		68	1	69	22.148708254568366
1	1.0	6	0	2	185		88	1	72	25.087770061728396
1		5	8	1	190		36	1	68	28.886245674740483
1		5	8	2	170		34	1	68	25.84558823529412
3		5	9	1	180		78	1	69	26.578449905482042
4	2.0	5	4	2	150		24	2	64	25.74462890625
3		5	11	1	190		55	1	71	26.496726839912714
2		5	11	1	145		24	2	71	20.221186272564967
1		6	2	2	200		43	1	74	25.675675675675674
2		5	3	1	145		41	2	63	25.68279163517259
2		6	3	1	230		50	1	75	28.74488888888889
2		5	6	1	163		74	1	66	26.306014692378326
1		5	5	1	127		43	2	65	21.131597633136096
3		5	2	2	150		61	2	62	27.43236212278876
1		5	6	2	120		43	2	66	19.366391184573004
4	1.0	5	11	1	220		72	1	71	30.68042055147788
3		6	2	2	250		28	1	74	32.09459459459459
1		5	3	2	114		26	2	63	20.19198790627362
2		5	10	2	185		43	1	70	26.541836734693877
2		5	6	1	130		65	2	66	20.980257116620752
1		4	11	2	105		70	2	59	21.205113473139903
5		5	4	1	103		92	1	64	17.677978515625
3		5	2	2	125		39	2	62	22.86030176899063
3		6	0	2	163		18	2	72	22.104359567901234
2		7	77	2	185		34	2	161	5.017360441340998
1		4	11	2	180		31	2	59	36.35162309681126
1		5	2	2	135		52	2	62	24.689125910509887
3		5	4	1	180		27	2	64	30.8935546875
3		5	11	1	195		42	1	71	27.19400912517358
2		5	7	2	170		33	1	67	26.622855869904207
1		6	2	2	185		54	1	74	23.75
1		5	8	1	220		40	2	68	33.44723183391004
1		6	7	1	240		48	1	79	27.034129145970198
4		5	7	1	250		59	1	67	39.15125863221207
3		5	3	2	150		26	2	63	26.56840513983371
1	1.0	6	0	1	160		42	1	72	21.697530864197528
2		5	7	2	145		30	2	67	22.707730006683004
3	1.0	6	2	1	230		58	1	74	29.527027027027028
1		5	10	2	145		25	1	70	20.803061224489795
1		6	2	2	170		33	1	74	21.824324324324323
2		5	0	1	118		68	2	60	23.04277777777778
1	2.0	5	11	1	145		38	1	71	20.221186272564967
1		5	11	2	180		51	1	71	25.102162269390995
3		5	4	2	155		80	2	64	26.602783203125
2	1.0	5	1	1	140		47	2	61	26.449879064767536
5		5	5	1	200		77	2	65	33.27810650887574
2		5	9	1	140		35	2	69	20.67212770426381
3		5	9	2	148		65	2	69	21.853392144507456
1		5	3	2	123		32	2	63	21.786092214663643
1		5	5	2	140		76	2	65	23.294674556213018
1		7	77	2	130		44	2	161	3.5257127425639445
3		5	6	2	158		58	1	66	25.499081726354454
1		5	2	2	135		56	2	62	24.689125910509887
4		5	4	1	178		45	2	64	30.55029296875
3	1.0	5	6	2	310		36	2	66	50.02984389348026
2		6	2	1	230		68	1	74	29.527027027027028
2		5	9	2	190		34	1	69	28.0550304557866
3		4	11	1	103		47	2	59	20.801206549842
1	1.0	5	6	2	143		78	2	66	23.07828282828283
2	1.0	4	10	1	112		76	2	58	23.405469678953626
3		5	11	1	175		36	1	71	24.404879984130133
2	1.0	5	5	2	190	160.0	37	2	65	31.614201183431952
1		5	6	2	125		21	2	66	20.173324150596876
4		5	4	2	110		28	2	64	18.87939453125
3		5	4	2	160		18	2	64	27.4609375
1		5	4	2	170		28	2	64	29.17724609375
1		5	11	2	170		56	1	71	23.70759769886927
3		6	0	2	195		28	1	72	26.44386574074074
1		5	11	1	170		52	1	71	23.70759769886927
2		5	8	2	200		49	1	68	30.406574394463664
5		5	3	1	120		68	2	63	21.25472411186697
1		5	10	2	180		57	1	70	25.82448979591837
1		5	1	2	120		33	2	61	22.671324912657887
2		6	0	1	160		62	1	72	21.697530864197528
4	1.0	5	0	2	125		21	2	60	24.409722222222225
2		5	3	2	150		33	2	63	26.56840513983371
1	1.0	5	1	2	137	120.0	51	2	61	25.883095941951087
1	1.0	5	7	2	125		32	2	67	19.575629316106035
4		5	9	1	175		66	1	69	25.84015963032976
2		5	8	1	220		54	2	68	33.44723183391004
2		5	1	2	160		55	2	61	30.228433216877185
2		5	7	2	175		44	1	67	27.40588104254845
2		5	10	2	150		52	2	70	21.520408163265305
2		5	6	2	200		47	2	66	32.277318640955
4		5	0	2	160		67	2	60	31.244444444444447
3		5	8	1	160		76	2	68	24.325259515570938
2		5	5	2	145		35	2	65	24.12662721893491
4		5	9	2	160		66	1	69	23.625288804872927
4		5	2	2	115		26	2	62	21.031477627471386
1		4	11	2	120		41	2	59	24.234415397874173
5		5	6	1	173		78	2	66	27.91988062442608
2		5	2	2	130		28	2	62	23.77471383975026
3		5	3	1	175		72	2	63	30.99647266313933
3		5	2	2	112		55	2	62	20.48283038501561
2	2.0	5	6	2	150		76	2	66	24.207988980716255
2		5	3	2	102		26	2	63	18.066515495086925
3	1.0	5	11	1	175		22	1	71	24.404879984130133
1	2.0	5	6	2	180		59	1	66	29.049586776859506
2	1.0	5	3	2	120	115.0	39	2	63	21.25472411186697
3		5	8	2	195		42	1	68	29.646410034602077
2		5	9	2	215		18	1	69	31.746481831547996
3		5	1	1	125		75	2	61	23.6159634506853
2		5	8	2	125		61	2	68	19.00410899653979
3		5	6	1	210		61	2	66	33.891184573002754
1		5	11	1	200		30	1	71	27.891291410434434
3	1.0	5	6	1	200		25	1	66	32.277318640955
3		5	0	2	125		66	2	60	24.409722222222225
3		6	2	1	190		31	1	74	24.39189189189189
2		5	6	1	150		42	2	66	24.207988980716255
2		5	7	1	140		73	2	67	21.924704834038764
3	1.0	5	3	2	165		33	2	63	29.225245653817083
2		6	3	1	190		24	1	75	23.745777777777775
1	2.0	5	10	1	300		51	1	70	43.04081632653061
2		6	2	2	235		24	1	74	30.16891891891892
1		5	7	2	140		43	2	67	21.924704834038764
2		5	9	2	180		32	1	69	26.578449905482042
1	1.0	5	4	2	155		41	2	64	26.602783203125
2		5	0	2	120		30	2	60	23.433333333333334
2		5	10	1	210		57	1	70	30.12857142857143
4		5	4	1	140		52	2	64	24.0283203125
3	1.0	6	0	2	175		51	1	72	23.731674382716047
4		5	1	1	160		65	2	61	30.228433216877185
3		5	8	1	220		38	2	68	33.44723183391004
4		5	7	1	200		55	2	67	31.32100690576966
3	9.0	5	6	2	165		28	1	66	26.62878787878788
2		5	11	1	200		77	1	71	27.891291410434434
3	2.0	5	4	1	130		58	2	64	22.31201171875
2		5	8	1	110		38	2	68	16.72361591695502
3		5	1	2	185		43	2	61	34.95162590701425
2		5	3	2	150		70	2	63	26.56840513983371
2		5	6	2	125		27	1	66	20.173324150596876
1		5	2	1	160		69	2	62	29.261186264308012
4		7	77	2	150		64	2	161	4.068130087573782
4		5	5	2	165		58	1	65	27.454437869822485
2		5	7	2	200		29	2	67	31.32100690576966
4	2.0	5	8	1	175		46	1	68	26.605752595155707
3		5	8	2	182		77	1	68	27.669982698961938
3		5	6	1	150		50	2	66	24.207988980716255
3		5	11	1	190		75	1	71	26.496726839912714
2		5	11	1	160		77	1	71	22.313033128347552
2	1.0	5	5	2	145		40	2	65	24.12662721893491
2		6	1	2	200		63	1	73	26.383936948770877
3		5	4	1	204		35	2	64	35.0126953125
2		5	7	1	155		66	2	67	24.273780351971485
2		6	0	2	200		44	1	72	27.12191358024691
2		5	7	2	187		71	1	67	29.28514145689463
4		5	3	2	120		35	2	63	21.25472411186697
3	2.0	5	7	2	188		49	2	67	29.44174649142348
3		5	8	7	145		19	2	68	22.044766435986162
1		5	5	2	130		25	2	65	21.630769230769232
3	1.0	5	8	2	128		28	2	68	19.46020761245675
9		5	3	1	182		73	2	63	32.2363315696649
2		6	0	2	182		39	1	72	24.680941358024693
2		5	6	1	120		22	2	66	19.366391184573004
5		5	9	1	195		63	1	69	28.793320730938877
5		5	2	1	127		60	2	62	23.226066597294484
1		6	0	1	175		54	1	72	23.731674382716047
1		5	5	2	130		44	2	65	21.630769230769232
1		5	7	2	160		52	2	67	25.05680552461573
2	1.0	5	1	1	122		68	2	61	23.049180327868854
1		5	7	2	135		22	2	67	21.14167966139452
1		6	1	1	165		21	1	73	21.76674798273597
1		5	8	2	165		20	1	68	25.085423875432525
3		7	77	2	143		71	2	161	3.8782840168203387
1	1.0	5	3	2	125		52	2	63	22.140337616528093
4		5	4	1	215		72	2	64	36.900634765625
3	2.0	6	1	1	222		80	1	73	29.28617001313567
2		5	3	1	210		45	2	63	37.195767195767196
1		5	2	2	110		29	2	62	20.117065556711758
3		5	6	1	200		52	2	66	32.277318640955
2		4	0	2	100		83	2	48	30.512152777777775
2	1.0	5	2	1	160		63	2	62	29.261186264308012
3	1.0	5	1	1	168		75	2	61	31.73985487772104
2		5	4	1	150		48	1	64	25.74462890625
1		5	7	2	125		26	2	67	19.575629316106035
5		5	10	1	195		27	2	70	27.976530612244897
2		6	0	2	210		36	1	72	28.47800925925926
4		5	3	1	170		38	2	63	30.110859158478206
1		5	6	1	140		47	2	66	22.594123048668507
2		5	7	2	180		57	1	67	28.188906215192695
4		5	8	2	160		42	2	68	24.325259515570938
1		4	11	1	100		66	2	59	20.195346164895145
1	1.0	5	6	1	160		38	2	66	25.821854912764003
1		5	7	2	140		28	2	67	21.924704834038764
3	1.0	5	3	2	138		19	2	63	24.442932728647015
1		6	3	2	210		28	1	75	26.245333333333335
4		5	4	1	106		48	2	64	18.19287109375
1		5	10	2	150		19	1	70	21.520408163265305
2		5	7	1	152		47	1	67	23.803965248384937
5		5	6	2	195		67	2	66	31.47038567493113
4		5	5	2	170		30	2	65	28.286390532544377
1		5	6	2	120		25	2	66	19.366391184573004
2		5	8	2	160		27	1	68	24.325259515570938
4	2.0	5	1	1	132		55	1	61	24.938457403923675
2		5	8	2	190		64	1	68	28.886245674740483
1	1.0	5	7	2	145		24	1	67	22.707730006683004
4		5	0	1	243		51	2	60	47.4525
3		5	10	1	175		58	1	70	25.107142857142854
4		5	0	2	94		62	2	60	18.35611111111111
4		5	4	2	180		48	2	64	30.8935546875
3		7	77	1	130		37	2	161	3.5257127425639445
3		5	10	2	220		41	1	70	31.563265306122446
2		6	2	1	220		48	1	74	28.243243243243246
3		5	3	1	170		42	2	63	30.110859158478206
3		5	4	2	125		23	2	64	21.453857421875
3		5	4	1	162		38	2	64	27.80419921875
2		5	8	1	155		29	2	68	23.565095155709344
1	2.0	5	8	2	230		57	2	68	34.96756055363322
2	1.0	5	4	1	135	125.0	60	2	64	23.170166015625
3		5	2	2	170		36	2	62	31.09001040582726
2		5	1	1	140		32	2	61	26.449879064767536
2		5	8	2	225		46	1	68	34.20739619377163
4		7	77	2	124		78	2	161	3.3629875390609927
3		5	2	2	150		24	2	62	27.43236212278876
1		5	4	1	140		57	2	64	24.0283203125
3		5	2	1	132		56	2	62	24.14047866805411
3		5	2	1	107		65	2	62	19.568418314255982
2		5	10	2	155		53	2	70	22.237755102040815
1		5	10	2	175		36	1	70	25.107142857142854
4		5	7	2	155		96	1	67	24.273780351971485
4		5	4	1	135		23	2	64	23.170166015625
1		5	8	2	155		21	1	68	23.565095155709344
3		5	0	2	168		78	2	60	32.806666666666665
2		5	1	2	105		30	2	61	19.83740929857565
3	2.0	5	7	1	165		40	1	67	25.83983069725997
3		5	4	1	140		31	2	64	24.0283203125
2		5	3	1	176		63	1	63	31.173595364071552
2	2.0	5	0	1	155		32	2	60	30.268055555555556
3		5	2	1	130		19	2	62	23.77471383975026
1		5	7	1	160		55	2	67	25.05680552461573
4		5	11	2	181		73	1	71	25.241618726443164
3		5	8	1	200		61	2	68	30.406574394463664
1		5	5	2	112		48	2	65	18.635739644970414
1		4	8	1	95		61	2	56	21.29623724489796
2		5	1	2	204		25	2	61	38.54125235151841
3		6	2	1	220		56	1	74	28.243243243243246
3		5	4	1	250		43	2	64	42.90771484375
2	1.0	5	9	1	178		52	1	69	26.28313379542113
4		5	7	2	188		55	2	67	29.44174649142348
1	2.0	5	3	2	142		66	2	63	25.151423532375915
2	2.0	5	7	2	170		32	2	67	26.622855869904207
1		5	11	1	165		20	1	71	23.01031541360841
2		5	4	2	130		30	2	64	22.31201171875
4		5	5	1	113		38	2	65	18.802130177514794
2		5	11	2	182		50	1	71	25.381075183495337
4		5	10	1	260		47	1	70	37.30204081632653
1		5	2	2	135		23	2	62	24.689125910509887
3		6	2	1	195		33	1	74	25.033783783783786
2		5	4	7	115		28	2	64	19.737548828125
1		5	11	2	173		21	1	71	24.125967070025787
4		5	8	1	168		38	1	68	25.541522491349482
4		5	10	2	190		39	1	70	27.259183673469387
2		5	2	2	125		64	2	62	22.86030176899063
1		5	6	1	175		38	1	66	28.242653810835627
3	1.0	5	4	1	135		73	2	64	23.170166015625
1	1.0	5	4	1	130		30	2	64	22.31201171875
1		5	6	2	117		56	2	66	18.882231404958677
4		5	6	2	125		90	2	66	20.173324150596876
2		5	3	2	200		42	2	63	35.42454018644495
4		5	7	1	150		54	2	67	23.49075517932724
2		5	11	2	180		49	1	71	25.102162269390995
2	1.0	5	10	2	260	210.0	34	1	70	37.30204081632653
2		5	11	1	170		38	1	71	23.70759769886927
1		5	7	2	160		40	2	67	25.05680552461573
3		5	11	2	185		34	1	71	25.799444554651853
2		5	8	2	165		30	1	68	25.085423875432525
1	1.0	5	0	1	104		42	2	60	20.308888888888887
1		5	10	1	178		53	1	70	25.537551020408163
2	1.0	5	7	1	147		39	1	67	23.0209400757407
2		5	7	2	160		68	2	67	25.05680552461573
2		5	9	1	185		54	2	69	27.31674018063432
2		5	4	2	110		62	2	64	18.87939453125
2		5	6	1	200		71	2	66	32.277318640955
2		5	7	2	170		56	1	67	26.622855869904207
3		5	5	1	140		41	2	65	23.294674556213018
4	1.0	5	5	2	175		64	2	65	29.118343195266274
1		6	1	2	240		36	1	73	31.66072433852505
1		5	2	2	104		59	2	62	19.019771071800207
1		5	6	2	185		55	2	66	29.85651974288338
2	1.0	6	2	2	184		41	1	74	23.62162162162162
3		5	5	2	150		27	2	65	24.958579881656807
2		5	8	1	175		50	1	68	26.605752595155707
4		5	10	1	145		20	1	70	20.803061224489795
1		5	8	1	200		48	1	68	30.406574394463664
2	1.0	5	9	1	165		43	1	69	24.363579080025207
1		5	9	1	210		51	1	69	31.008191556395715
2		5	6	2	160		69	2	66	25.821854912764003
4		5	10	1	190		28	1	70	27.259183673469387
5		6	0	1	185		74	1	72	25.087770061728396
2		6	3	2	220		33	1	75	27.49511111111111
3		5	3	2	179		78	2	63	31.70496346686823
2	2.0	5	5	1	200		70	2	65	33.27810650887574
2		5	11	2	185		23	1	71	25.799444554651853
2		5	2	2	130		31	2	62	23.77471383975026
1		5	4	2	140		47	2	64	24.0283203125
2		5	6	1	145		24	1	66	23.401056014692376
3		5	2	1	135		69	2	62	24.689125910509887
2		6	0	1	220		52	1	72	29.834104938271604
2		5	6	2	230		34	2	66	37.11891643709825
5		5	8	1	202		47	1	68	30.710640138408305
4		5	9	2	280		20	2	69	41.34425540852762
2		5	7	2	160		54	1	67	25.05680552461573
1		5	2	2	145		49	2	62	26.51795005202914
3		5	6	2	160		75	2	66	25.821854912764003
5		5	5	2	170		60	2	65	28.286390532544377
2	1.0	5	0	2	145		74	2	60	28.31527777777778
3		6	3	2	300		54	1	75	37.49333333333333
2		5	1	2	116		63	2	61	21.915614082235958
5		6	1	1	230		65	1	73	30.34152749108651
3		5	1	2	110		74	2	61	20.782047836603063
1		5	11	1	185		53	1	71	25.799444554651853
3		5	10	2	195		28	1	70	27.976530612244897
1		5	8	1	155		27	1	68	23.565095155709344
4		4	11	2	81		93	2	59	16.35823039356507
2		6	0	2	310		51	1	72	42.038966049382715
1		5	4	2	140		43	2	64	24.0283203125
3		5	8	2	145		42	2	68	22.044766435986162
2		5	8	1	160		35	2	68	24.325259515570938
3		6	5	2	190		34	1	77	22.52825096980941
1		5	9	2	165		22	1	69	24.363579080025207
2	1.0	5	4	2	161		32	2	64	27.632568359375
2		5	3	1	135		35	2	63	23.911564625850342
1		5	10	1	170		47	1	70	24.389795918367348
3		5	7	1	170		56	1	67	26.622855869904207
2		5	5	2	115		48	2	65	19.13491124260355
1		5	0	1	112		52	2	60	21.87111111111111
1		6	0	1	190		63	1	72	25.76581790123457
2		5	5	2	160		35	2	65	26.622485207100592
1		5	9	1	155		27	1	69	22.886998529720646
2		5	5	1	150		27	2	65	24.958579881656807
4		5	8	1	150		38	1	68	22.80493079584775
4		5	7	1	180		60	2	67	28.188906215192695
2		5	11	2	190		33	1	71	26.496726839912714
3		6	3	2	195		21	1	75	24.370666666666665
5		5	2	1	170		51	2	62	31.09001040582726
2		5	6	2	125		25	2	66	20.173324150596876
3		5	4	1	122		24	2	64	20.93896484375
1	2.0	5	4	2	112		35	2	64	19.22265625
1		5	5	1	155		38	2	65	25.790532544378696
3		5	6	1	165		50	2	66	26.62878787878788
3		5	10	1	152		65	1	70	21.80734693877551
4		5	8	2	135		51	1	68	20.524437716262977
3		5	3	2	150		50	2	63	26.56840513983371
2		5	4	2	125		41	2	64	21.453857421875
4		5	10	1	155		44	1	70	22.237755102040815
4		5	9	1	172		80	1	69	25.397185465238394
4	2.0	6	6	1	320		29	1	78	36.97567389875083
1		5	4	1	165		35	2	64	28.319091796875
1		5	8	1	155		54	1	68	23.565095155709344
1		5	3	2	120		22	2	63	21.25472411186697
2		5	1	1	120		44	2	61	22.671324912657887
1	1.0	6	4	2	210		42	1	76	25.559210526315788
3		5	10	2	185		50	2	70	26.541836734693877
3		5	8	1	120		22	2	68	18.2439446366782
1	1.0	5	1	2	103		83	2	61	19.459553883364684
2		5	5	2	140		22	2	65	23.294674556213018
3		6	3	2	270		47	1	75	33.744
1		6	0	2	239		52	1	72	32.410686728395056
4		5	2	1	106		68	2	62	19.385535900104056
1		6	0	2	185		40	1	72	25.087770061728396
3	1.0	5	8	1	170		39	1	68	25.84558823529412
1		5	3	2	129		48	2	63	22.848828420256993
1		5	10	1	195		64	1	70	27.976530612244897
1	1.0	5	7	2	165		19	1	67	25.83983069725997
2		5	4	2	147		39	2	64	25.229736328125
4		5	9	1	165		59	1	69	24.363579080025207
3		5	6	2	154		39	2	66	24.853535353535353
1	1.0	5	11	2	190		65	1	71	26.496726839912714
3		5	5	2	135		75	2	65	22.46272189349112
2		5	2	2	115		65	2	62	21.031477627471386
3		5	11	1	175		84	1	71	24.404879984130133
3		5	5	2	155		57	2	65	25.790532544378696
2		5	5	1	125		19	2	65	20.798816568047336
2		6	0	2	221		42	1	72	29.969714506172842
1		5	7	1	212		48	1	67	33.200267320115834
2		6	2	1	232		53	1	74	29.783783783783786
3		5	8	1	160		51	2	68	24.325259515570938
2		5	2	1	160		44	2	62	29.261186264308012
3		6	0	1	185		28	1	72	25.087770061728396
2		5	3	1	120		22	2	63	21.25472411186697
3	2.0	6	0	1	160		74	1	72	21.697530864197528
3		6	0	1	220		62	1	72	29.834104938271604
1		5	5	2	165		46	2	65	27.454437869822485
2	1.0	5	8	1	138	138.0	27	2	68	20.98053633217993
1		6	2	1	290		42	1	74	37.229729729729726
3		5	4	1	140		65	2	64	24.0283203125
3		5	5	2	190		47	2	65	31.614201183431952
4		5	5	2	215		77	2	65	35.77396449704142
3		5	11	2	230		42	1	71	32.0749851219996
2		5	9	1	145		25	2	69	21.41041797941609
4		5	3	7	125		53	2	63	22.140337616528093
5	2.0	6	3	1	190		48	1	75	23.745777777777775
3		5	4	1	150		18	2	64	25.74462890625
2		5	8	2	145		19	1	68	22.044766435986162
2	1.0	5	6	2	175		43	2	66	28.242653810835627
3		6	0	1	225		57	1	72	30.512152777777775
5		5	4	1	180		63	2	64	30.8935546875
2		5	9	1	178		52	1	69	26.28313379542113
2		5	8	1	180		73	1	68	27.3659169550173
3		6	1	1	230		34	1	73	30.34152749108651
3	1.0	5	2	1	135	125.0	41	2	62	24.689125910509887
2		5	9	2	190		25	2	69	28.0550304557866
2		5	10	1	200		30	2	70	28.693877551020407
2		6	0	1	220		61	1	72	29.834104938271604
2		5	4	2	130		22	2	64	22.31201171875
3	1.0	5	5	1	133		37	2	65	22.129940828402365
2		5	4	2	125		42	2	64	21.453857421875
3		5	0	1	150		39	2	60	29.291666666666664
2	1.0	5	6	2	150		70	2	66	24.207988980716255
2		5	6	7	115		19	2	66	18.559458218549125
1		5	5	2	130		33	2	65	21.630769230769232
4		5	1	1	145		69	2	61	27.39451760279495
3		5	0	1	130		40	2	60	25.38611111111111
3		5	6	2	160		50	1	66	25.821854912764003
3		5	10	1	280		44	2	70	40.17142857142857
2		5	3	2	175		24	2	63	30.99647266313933
2		5	7	1	150		48	2	67	23.49075517932724
2		5	10	2	190		53	1	70	27.259183673469387
2		5	4	2	145		27	2	64	24.886474609375
3	2.0	5	4	2	152		75	1	64	26.087890625
3		5	2	1	170		28	2	62	31.09001040582726
3		4	11	1	134		35	2	59	27.061763860959495
2		5	0	1	140		37	2	60	27.33888888888889
1	1.0	5	0	2	104		62	2	60	20.308888888888887
1		5	4	2	170		72	2	64	29.17724609375
3		5	6	1	165		46	2	66	26.62878787878788
4		5	0	1	110		54	2	60	21.480555555555554
1	1.0	5	6	2	135		29	2	66	21.787190082644628
3	2.0	5	2	2	142		60	2	62	25.969302809573364
2		5	4	2	140		32	2	64	24.0283203125
1		5	7	2	160		42	1	67	25.05680552461573
3	2.0	5	9	1	150		41	2	69	22.148708254568366
4	2.0	5	11	2	175	185.0	23	1	71	24.404879984130133
3	2.0	5	9	1	205		43	1	69	30.26990128124344
1		5	6	1	124		26	2	66	20.011937557392102
5	2.0	6	0	1	209		55	1	72	28.342399691358025
3	1.0	5	3	1	185	150.0	59	2	63	32.767699672461575
2	1.0	6	0	1	245		44	1	72	33.22434413580247
3		5	4	2	120		47	2	64	20.595703125
3		5	11	2	207		68	1	71	28.867486609799645
3		7	77	1	110		29	2	161	2.9832953975541066
1		5	7	1	150		35	2	67	23.49075517932724
2		5	7	1	195		40	2	67	30.537981733125417
3		6	0	1	230		41	2	72	31.190200617283953
3	1.0	5	5	1	170		24	2	65	28.286390532544377
2		5	11	1	210		61	1	71	29.28585598095616
4		5	2	1	103		40	2	62	18.83688865764828
3		6	3	2	200		26	1	75	24.995555555555555
4		5	6	2	220		63	2	66	35.505050505050505
1		5	10	1	154		56	1	70	22.094285714285714
3		5	4	2	126		81	2	64	21.62548828125
2		5	10	2	210		62	1	70	30.12857142857143
4		5	3	2	135		48	2	63	23.911564625850342
1		5	4	2	145		25	2	64	24.886474609375
3		5	7	2	175		52	2	67	27.40588104254845
3		5	5	2	180		28	2	65	29.950295857988166
4		5	5	1	120		70	2	65	19.966863905325443
5		6	1	2	255		37	1	73	33.639519609682864
2		5	10	2	175		64	1	70	25.107142857142854
4		5	7	1	225		34	1	67	35.23613276899087
4		6	2	1	205		68	1	74	26.31756756756757
2	1.0	5	4	2	130		73	2	64	22.31201171875
1	1.0	5	3	2	125		73	2	63	22.140337616528093
3		5	11	1	240		82	1	71	33.469549692521326
2		5	10	2	190		62	1	70	27.259183673469387
5		5	8	1	175		43	1	68	26.605752595155707
1		5	6	1	140		22	2	66	22.594123048668507
1		5	4	1	150		38	2	64	25.74462890625
3		5	4	2	180		25	2	64	30.8935546875
3		5	3	1	125		44	2	63	22.140337616528093
2		5	4	1	155		59	2	64	26.602783203125
3		5	5	1	172		68	2	65	28.619171597633134
3	1.0	5	7	1	150		65	1	67	23.49075517932724
2		5	2	2	133		45	2	62	24.323361082206034
4		5	3	1	168		72	2	63	29.756613756613756
4	1.0	5	2	2	121		77	2	62	22.128772112382933
3		5	3	1	125		81	2	63	22.140337616528093
3		7	77	1	105		53	1	161	2.8476910613016475
4		5	11	1	195		66	1	71	27.19400912517358
2		5	9	1	167		33	1	69	24.658895190086113
3		5	10	1	240		67	1	70	34.432653061224485
3		5	7	2	310		39	1	67	48.54756070394297
2		5	2	1	105		19	2	62	19.202653485952133
3		6	0	2	260		50	1	72	35.25848765432099
3		5	5	1	150		45	2	65	24.958579881656807
2		6	0	1	200		35	1	72	27.12191358024691
5		5	2	1	143		81	2	62	26.152185223725287
2		5	7	2	130		40	2	67	20.35865448875028
3		5	4	1	135		19	2	64	23.170166015625
1		5	6	2	118		41	2	66	19.04361799816345
3		5	4	1	123		30	2	64	21.110595703125
4		5	5	2	124		39	2	65	20.63242603550296
3		5	10	1	160		57	1	70	22.955102040816328
3		5	2	2	175		53	2	62	32.00442247658689
4		5	3	1	127		58	2	63	22.49458301839254
1		5	9	2	175		36	2	69	25.84015963032976
2	2.0	5	2	2	140		19	2	62	25.60353798126951
3		5	1	2	130		85	2	61	24.56060198871271
2		5	2	2	118		47	2	62	21.580124869927158
3		5	5	2	115		56	2	65	19.13491124260355
3	2.0	5	8	2	170		37	1	68	25.84558823529412
3	1.0	5	0	2	120		18	1	60	23.433333333333334
5		5	7	1	136		60	2	67	21.298284695923368
1		5	10	1	135		34	2	70	19.368367346938776
2	1.0	5	7	2	135		30	2	67	21.14167966139452
2		6	2	2	218		40	1	74	27.986486486486488
2		5	7	2	145		47	2	67	22.707730006683004
3		5	8	1	145		21	1	68	22.044766435986162
2	1.0	5	5	2	185	145.0	39	2	65	30.782248520710063
4		5	11	1	190		27	1	71	26.496726839912714
2	1.0	5	7	1	157		19	2	67	24.58699042102918
2		5	3	2	180		51	2	63	31.882086167800452
2		5	6	2	185		72	2	66	29.85651974288338
2		6	1	2	250		52	1	73	32.9799211859636
2		6	0	2	211		37	1	72	28.613618827160494
2	1.0	5	5	2	160		36	2	65	26.622485207100592
3		5	2	1	113		54	2	62	20.665712799167533
2	1.0	6	2	2	285	250.0	37	1	74	36.58783783783784
1		5	3	2	140		33	2	63	24.797178130511462
3		5	4	1	145		69	2	64	24.886474609375
2		5	10	1	195		43	1	70	27.976530612244897
2		5	6	2	112		18	2	66	18.0752984389348
2	1.0	5	11	1	310		38	1	71	43.23150168617338
1		5	6	1	230		57	2	66	37.11891643709825
3		5	4	2	154		68	2	64	26.43115234375
2		5	8	2	175		44	1	68	26.605752595155707
1		5	6	1	155		44	2	66	25.01492194674013
1		5	0	1	105		24	2	60	20.504166666666666
4		5	0	1	150		60	2	60	29.291666666666664
3		5	0	2	145		45	2	60	28.31527777777778
3		5	6	1	165		62	1	66	26.62878787878788
2		5	10	1	150		27	2	70	21.520408163265305
4		4	11	2	130		20	2	59	26.25395001436369
3		5	7	2	200		40	1	67	31.32100690576966
2		6	2	2	155		45	1	74	19.89864864864865
